date,pool,pool_salinity,pool_salinity_2,pool_temp,pool_temp_2,sals (y/n),notes
04/19/24,3,18.25,,15,,n,
04/19/24,4,22.54,,15.5,,n,
04/19/24,5,0.36,,11.9,,n,eggs
04/19/24,6,0.17,,11,,n,
04/19/24,7,0.19,13.94,11.2,16.9,n,eggs
04/19/24,8,6.54,,15.7,,n,eggs
04/19/24,9,10.88,,14.1,,n,
04/19/24,10,16.58,,16,,n,
04/19/24,11,0.43,,12.3,,n,eggs
04/19/24,12,0.24,,12.2,,n,eggs
04/19/24,13,4.96,,14.4,,n,eggs
04/19/24,15,0.43,,11.6,,n,eggs
04/19/24,16,0.17,,9.9,,n,eggs
04/20/24,2,1.24,,9.2,,n,eggs (2) (salinity measured near eggs)
04/20/24,5,0.61,,9.7,,n,eggs (1)
04/20/24,7,0.22,7.46,8.2,12,y,2 salamanders; eggs (~11 shallow; 3 deep)
04/20/24,8,3.81,,11.1,,n,eggs (5)
04/20/24,11,0.26,,8.5,,n,eggs (~71)
04/20/24,12,0.41,,9.7,,y,2 salamanders; eggs (8)
04/20/24,13,3.26,,10.6,,n,1 salamander; eggs (4)
04/20/24,15,0.7,,10.1,,n,eggs (~19)
04/20/24,16,0.2,,8.7,,y,1 salamander; eggs (4)
